Column,Unit,Description
f_ap_acs_f814w,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
ferr_ap_acs_f814w,uJy,Uncertainty on f_ap_acs_f814w.
m_acs_f814w,mag,Total AB magnitude in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
merr_acs_f814w,mag,Mean error on m_acs_f814w.
m_ap_acs_f814w,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
merr_ap_acs_f814w,mag,Mean error on m_ap_acs_f814w
flag_acs_f814w,mag,Flag set to true for sources for which niether the acs_f814w aperture nor total flux should not be used for SED fitting (see documentation).
f_acs_f850lp,uJy,Total flux density in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
ferr_acs_f850lp,uJy,Uncertainty on f_acs_f850lp.
f_ap_acs_f850lp,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
ferr_ap_acs_f850lp,uJy,Uncertainty on f_ap_acs_f850lp.
m_acs_f850lp,mag,Total AB magnitude in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
merr_acs_f850lp,mag,Mean error on m_acs_f850lp.
m_ap_acs_f850lp,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
merr_ap_acs_f850lp,mag,Mean error on m_ap_acs_f850lp
flag_acs_f850lp,mag,Flag set to true for sources for which niether the acs_f850lp aperture nor total flux should not be used for SED fitting (see documentation).
f_bessell_b,uJy,Total flux density in the B band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
ferr_bessell_b,uJy,Uncertainty on f_bessell_b.
f_ap_bessell_b,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
ferr_ap_bessell_b,uJy,Uncertainty on f_ap_bessell_b.
m_bessell_b,mag,Total AB magnitude in the B band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
merr_bessell_b,mag,Mean error on m_bessell_b.
m_ap_bessell_b,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
merr_ap_bessell_b,mag,Mean error on m_ap_bessell_b
flag_bessell_b,mag,Flag set to true for sources for which niether the bessell_b aperture nor total flux should not be used for SED fitting (see documentation).
f_bessell_i,uJy,Total flux density in the I band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
ferr_bessell_i,uJy,Uncertainty on f_bessell_i.
f_ap_bessell_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
ferr_ap_bessell_i,uJy,Uncertainty on f_ap_bessell_i.
m_bessell_i,mag,Total AB magnitude in the I band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
merr_bessell_i,mag,Mean error on m_bessell_i.
m_ap_bessell_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
merr_ap_bessell_i,mag,Mean error on m_ap_bessell_i
flag_bessell_i,mag,Flag set to true for sources for which niether the bessell_i aperture nor total flux should not be used for SED fitting (see documentation).
f_bessell_r,uJy,Total flux density in the R band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
ferr_bessell_r,uJy,Uncertainty on f_bessell_r.
f_ap_bessell_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
ferr_ap_bessell_r,uJy,Uncertainty on f_ap_bessell_r.
m_bessell_r,mag,Total AB magnitude in the R band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
merr_bessell_r,mag,Mean error on m_bessell_r.
