Column,Unit,Description
f_hawki_k,uJy,Total flux density in the K band of The High Acuity Wide field K-band Imager (HAWK-I) on The Very Large Telescope (VLT) at Paranal.
ferr_hawki_k,uJy,Uncertainty on f_hawki_k.
f_ap_hawki_k,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of The High Acuity Wide field K-band Imager (HAWK-I) on The Very Large Telescope (VLT) at Paranal."
ferr_ap_hawki_k,uJy,Uncertainty on f_ap_hawki_k.
m_hawki_k,mag,Total AB magnitude in the K band of The High Acuity Wide field K-band Imager (HAWK-I) on The Very Large Telescope (VLT) at Paranal.
merr_hawki_k,mag,Mean error on m_hawki_k.
m_ap_hawki_k,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of The High Acuity Wide field K-band Imager (HAWK-I) on The Very Large Telescope (VLT) at Paranal."
merr_ap_hawki_k,mag,Mean error on m_ap_hawki_k
flag_hawki_k,mag,Flag set to true for sources for which niether the hawki_k aperture nor total flux should not be used for SED fitting (see documentation).
f_irac_i1,uJy,Total flux density in the 3-4um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
ferr_irac_i1,uJy,Uncertainty on f_irac_i1.
f_ap_irac_i1,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 3-4um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
ferr_ap_irac_i1,uJy,Uncertainty on f_ap_irac_i1.
m_irac_i1,mag,Total AB magnitude in the 3-4um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
merr_irac_i1,mag,Mean error on m_irac_i1.
m_ap_irac_i1,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 3-4um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
merr_ap_irac_i1,mag,Mean error on m_ap_irac_i1
flag_irac_i1,mag,Flag set to true for sources for which niether the irac_i1 aperture nor total flux should not be used for SED fitting (see documentation).
f_irac_i2,uJy,Total flux density in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
ferr_irac_i2,uJy,Uncertainty on f_irac_i2.
f_ap_irac_i2,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
ferr_ap_irac_i2,uJy,Uncertainty on f_ap_irac_i2.
m_irac_i2,mag,Total AB magnitude in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
merr_irac_i2,mag,Mean error on m_irac_i2.
m_ap_irac_i2,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
merr_ap_irac_i2,mag,Mean error on m_ap_irac_i2
flag_irac_i2,mag,Flag set to true for sources for which niether the irac_i2 aperture nor total flux should not be used for SED fitting (see documentation).
f_irac_i3,uJy,Total flux density in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
ferr_irac_i3,uJy,Uncertainty on f_irac_i3.
f_ap_irac_i3,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
ferr_ap_irac_i3,uJy,Uncertainty on f_ap_irac_i3.
m_irac_i3,mag,Total AB magnitude in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
merr_irac_i3,mag,Mean error on m_irac_i3.
m_ap_irac_i3,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 4-8um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
merr_ap_irac_i3,mag,Mean error on m_ap_irac_i3
flag_irac_i3,mag,Flag set to true for sources for which niether the irac_i3 aperture nor total flux should not be used for SED fitting (see documentation).
f_irac_i4,uJy,Total flux density in the 8-15um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
ferr_irac_i4,uJy,Uncertainty on f_irac_i4.
f_ap_irac_i4,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 8-15um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
ferr_ap_irac_i4,uJy,Uncertainty on f_ap_irac_i4.
m_irac_i4,mag,Total AB magnitude in the 8-15um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope.
merr_irac_i4,mag,Mean error on m_irac_i4.
m_ap_irac_i4,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 8-15um band of The Infrared Array Camera (IRAC) on The Spitzer Space Telescope."
merr_ap_irac_i4,mag,Mean error on m_ap_irac_i4
flag_irac_i4,mag,Flag set to true for sources for which niether the irac_i4 aperture nor total flux should not be used for SED fitting (see documentation).
f_isaac_k,uJy,Total flux density in the K band of The Infrared Spectrometer And Array Camera (ISAAC) on The Very Large Telescope (VLT) at Paranal.
ferr_isaac_k,uJy,Uncertainty on f_isaac_k.
f_ap_isaac_k,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of The Infrared Spectrometer And Array Camera (ISAAC) on The Very Large Telescope (VLT) at Paranal."
ferr_ap_isaac_k,uJy,Uncertainty on f_ap_isaac_k.
m_isaac_k,mag,Total AB magnitude in the K band of The Infrared Spectrometer And Array Camera (ISAAC) on The Very Large Telescope (VLT) at Paranal.
merr_isaac_k,mag,Mean error on m_isaac_k.
m_ap_isaac_k,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of The Infrared Spectrometer And Array Camera (ISAAC) on The Very Large Telescope (VLT) at Paranal."
merr_ap_isaac_k,mag,Mean error on m_ap_isaac_k
flag_isaac_k,mag,Flag set to true for sources for which niether the isaac_k aperture nor total flux should not be used for SED fitting (see documentation).
f_egacam_g,uJy,Total flux density in the B band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
ferr_egacam_g,uJy,Uncertainty on f_egacam_g.
f_ap_egacam_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
ferr_ap_egacam_g,uJy,Uncertainty on f_ap_egacam_g.
m_egacam_g,mag,Total AB magnitude in the B band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
merr_egacam_g,mag,Mean error on m_egacam_g.
m_ap_egacam_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
merr_ap_egacam_g,mag,Mean error on m_ap_egacam_g
flag_egacam_g,mag,Flag set to true for sources for which niether the egacam_g aperture nor total flux should not be used for SED fitting (see documentation).
f_egacam_i,uJy,Total flux density in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
ferr_egacam_i,uJy,Uncertainty on f_egacam_i.
f_ap_egacam_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
ferr_ap_egacam_i,uJy,Uncertainty on f_ap_egacam_i.
m_egacam_i,mag,Total AB magnitude in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
merr_egacam_i,mag,Mean error on m_egacam_i.
m_ap_egacam_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
merr_ap_egacam_i,mag,Mean error on m_ap_egacam_i
flag_egacam_i,mag,Flag set to true for sources for which niether the egacam_i aperture nor total flux should not be used for SED fitting (see documentation).
f_egacam_r,uJy,Total flux density in the R band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
ferr_egacam_r,uJy,Uncertainty on f_egacam_r.
f_ap_egacam_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
ferr_ap_egacam_r,uJy,Uncertainty on f_ap_egacam_r.
m_egacam_r,mag,Total AB magnitude in the R band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
merr_egacam_r,mag,Mean error on m_egacam_r.
m_ap_egacam_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
merr_ap_egacam_r,mag,Mean error on m_ap_egacam_r
flag_egacam_r,mag,Flag set to true for sources for which niether the egacam_r aperture nor total flux should not be used for SED fitting (see documentation).
f_egacam_u,uJy,Total flux density in the U band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
ferr_egacam_u,uJy,Uncertainty on f_egacam_u.
f_ap_egacam_u,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the U band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
ferr_ap_egacam_u,uJy,Uncertainty on f_ap_egacam_u.
m_egacam_u,mag,Total AB magnitude in the U band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
merr_egacam_u,mag,Mean error on m_egacam_u.
m_ap_egacam_u,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the U band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
merr_ap_egacam_u,mag,Mean error on m_ap_egacam_u
flag_egacam_u,mag,Flag set to true for sources for which niether the egacam_u aperture nor total flux should not be used for SED fitting (see documentation).
f_egacam_y,uJy,Total flux density in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
ferr_egacam_y,uJy,Uncertainty on f_egacam_y.
f_ap_egacam_y,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
ferr_ap_egacam_y,uJy,Uncertainty on f_ap_egacam_y.
m_egacam_y,mag,Total AB magnitude in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
merr_egacam_y,mag,Mean error on m_egacam_y.
m_ap_egacam_y,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
merr_ap_egacam_y,mag,Mean error on m_ap_egacam_y
flag_egacam_y,mag,Flag set to true for sources for which niether the egacam_y aperture nor total flux should not be used for SED fitting (see documentation).
f_egacam_z,uJy,Total flux density in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
ferr_egacam_z,uJy,Uncertainty on f_egacam_z.
f_ap_egacam_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
ferr_ap_egacam_z,uJy,Uncertainty on f_ap_egacam_z.
m_egacam_z,mag,Total AB magnitude in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT).
merr_egacam_z,mag,Mean error on m_egacam_z.
m_ap_egacam_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of MegaPrime/MegaCam on Canada France Hawaii Telescope (CFHT)."
merr_ap_egacam_z,mag,Mean error on m_ap_egacam_z
flag_egacam_z,mag,Flag set to true for sources for which niether the egacam_z aperture nor total flux should not be used for SED fitting (see documentation).
f_ips_24,uJy,Total flux density in the 15-30um band of The Multiband Imaging Photometer (MIPS) on The Spitzer Space Telescope.
ferr_ips_24,uJy,Uncertainty on f_ips_24.
f_ap_ips_24,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 15-30um band of The Multiband Imaging Photometer (MIPS) on The Spitzer Space Telescope."
ferr_ap_ips_24,uJy,Uncertainty on f_ap_ips_24.
m_ips_24,mag,Total AB magnitude in the 15-30um band of The Multiband Imaging Photometer (MIPS) on The Spitzer Space Telescope.
merr_ips_24,mag,Mean error on m_ips_24.
m_ap_ips_24,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 15-30um band of The Multiband Imaging Photometer (MIPS) on The Spitzer Space Telescope."
merr_ap_ips_24,mag,Mean error on m_ap_ips_24
flag_ips_24,mag,Flag set to true for sources for which niether the ips_24 aperture nor total flux should not be used for SED fitting (see documentation).
f_t_g,uJy,Total flux density in the B band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
ferr_t_g,uJy,Uncertainty on f_t_g.
f_ap_t_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
ferr_ap_t_g,uJy,Uncertainty on f_ap_t_g.
m_t_g,mag,Total AB magnitude in the B band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
merr_t_g,mag,Mean error on m_t_g.
m_ap_t_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
merr_ap_t_g,mag,Mean error on m_ap_t_g
flag_t_g,mag,Flag set to true for sources for which niether the t_g aperture nor total flux should not be used for SED fitting (see documentation).
f_t_i,uJy,Total flux density in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
ferr_t_i,uJy,Uncertainty on f_t_i.
f_ap_t_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
ferr_ap_t_i,uJy,Uncertainty on f_ap_t_i.
m_t_i,mag,Total AB magnitude in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
merr_t_i,mag,Mean error on m_t_i.
m_ap_t_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
merr_ap_t_i,mag,Mean error on m_ap_t_i
flag_t_i,mag,Flag set to true for sources for which niether the t_i aperture nor total flux should not be used for SED fitting (see documentation).
f_t_r,uJy,Total flux density in the R band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
ferr_t_r,uJy,Uncertainty on f_t_r.
f_ap_t_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
ferr_ap_t_r,uJy,Uncertainty on f_ap_t_r.
m_t_r,mag,Total AB magnitude in the R band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
merr_t_r,mag,Mean error on m_t_r.
m_ap_t_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
merr_ap_t_r,mag,Mean error on m_ap_t_r
flag_t_r,mag,Flag set to true for sources for which niether the t_r aperture nor total flux should not be used for SED fitting (see documentation).
f_t_u,uJy,Total flux density in the U band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
ferr_t_u,uJy,Uncertainty on f_t_u.
f_ap_t_u,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the U band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
ferr_ap_t_u,uJy,Uncertainty on f_ap_t_u.
m_t_u,mag,Total AB magnitude in the U band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
merr_t_u,mag,Mean error on m_t_u.
m_ap_t_u,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the U band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
merr_ap_t_u,mag,Mean error on m_ap_t_u
flag_t_u,mag,Flag set to true for sources for which niether the t_u aperture nor total flux should not be used for SED fitting (see documentation).
f_t_z,uJy,Total flux density in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
ferr_t_z,uJy,Uncertainty on f_t_z.
f_ap_t_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
ferr_ap_t_z,uJy,Uncertainty on f_ap_t_z.
m_t_z,mag,Total AB magnitude in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory.
merr_t_z,mag,Mean error on m_t_z.
m_ap_t_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of MegaCam on The Multiple Mirror Telescope (MMT) Observatory."
merr_ap_t_z,mag,Mean error on m_ap_t_z
flag_t_z,mag,Flag set to true for sources for which niether the t_z aperture nor total flux should not be used for SED fitting (see documentation).
f_oircs_k,uJy,Total flux density in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope.
ferr_oircs_k,uJy,Uncertainty on f_oircs_k.
f_ap_oircs_k,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope."
ferr_ap_oircs_k,uJy,Uncertainty on f_ap_oircs_k.
m_oircs_k,mag,Total AB magnitude in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope.
merr_oircs_k,mag,Mean error on m_oircs_k.
m_ap_oircs_k,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope."
merr_ap_oircs_k,mag,Mean error on m_ap_oircs_k
flag_oircs_k,mag,Flag set to true for sources for which niether the oircs_k aperture nor total flux should not be used for SED fitting (see documentation).
f_oircs_ks,uJy,Total flux density in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope.
ferr_oircs_ks,uJy,Uncertainty on f_oircs_ks.
f_ap_oircs_ks,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope."
ferr_ap_oircs_ks,uJy,Uncertainty on f_ap_oircs_ks.
m_oircs_ks,mag,Total AB magnitude in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope.
merr_oircs_ks,mag,Mean error on m_oircs_ks.
m_ap_oircs_ks,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of The Multi Object Infrared Camera and Spectrograph (MOIRCS) on The Subaru telescope."
merr_ap_oircs_ks,mag,Mean error on m_ap_oircs_ks
flag_oircs_ks,mag,Flag set to true for sources for which niether the oircs_ks aperture nor total flux should not be used for SED fitting (see documentation).
f_osaic_b,uJy,Total flux density in the B band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
ferr_osaic_b,uJy,Uncertainty on f_osaic_b.
f_ap_osaic_b,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
ferr_ap_osaic_b,uJy,Uncertainty on f_ap_osaic_b.
m_osaic_b,mag,Total AB magnitude in the B band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
merr_osaic_b,mag,Mean error on m_osaic_b.
m_ap_osaic_b,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
merr_ap_osaic_b,mag,Mean error on m_ap_osaic_b
flag_osaic_b,mag,Flag set to true for sources for which niether the osaic_b aperture nor total flux should not be used for SED fitting (see documentation).
f_osaic_i,uJy,Total flux density in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
ferr_osaic_i,uJy,Uncertainty on f_osaic_i.
f_ap_osaic_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
ferr_ap_osaic_i,uJy,Uncertainty on f_ap_osaic_i.
m_osaic_i,mag,Total AB magnitude in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
merr_osaic_i,mag,Mean error on m_osaic_i.
m_ap_osaic_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
merr_ap_osaic_i,mag,Mean error on m_ap_osaic_i
flag_osaic_i,mag,Flag set to true for sources for which niether the osaic_i aperture nor total flux should not be used for SED fitting (see documentation).
f_osaic_r,uJy,Total flux density in the R band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
ferr_osaic_r,uJy,Uncertainty on f_osaic_r.
f_ap_osaic_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
ferr_ap_osaic_r,uJy,Uncertainty on f_ap_osaic_r.
m_osaic_r,mag,Total AB magnitude in the R band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
merr_osaic_r,mag,Mean error on m_osaic_r.
m_ap_osaic_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
merr_ap_osaic_r,mag,Mean error on m_ap_osaic_r
flag_osaic_r,mag,Flag set to true for sources for which niether the osaic_r aperture nor total flux should not be used for SED fitting (see documentation).
f_osaic_u,uJy,Total flux density in the U band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
ferr_osaic_u,uJy,Uncertainty on f_osaic_u.
f_ap_osaic_u,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the U band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
ferr_ap_osaic_u,uJy,Uncertainty on f_ap_osaic_u.
m_osaic_u,mag,Total AB magnitude in the U band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
merr_osaic_u,mag,Mean error on m_osaic_u.
m_ap_osaic_u,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the U band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
merr_ap_osaic_u,mag,Mean error on m_ap_osaic_u
flag_osaic_u,mag,Flag set to true for sources for which niether the osaic_u aperture nor total flux should not be used for SED fitting (see documentation).
f_osaic_z,uJy,Total flux density in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
ferr_osaic_z,uJy,Uncertainty on f_osaic_z.
f_ap_osaic_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
ferr_ap_osaic_z,uJy,Uncertainty on f_ap_osaic_z.
m_osaic_z,mag,Total AB magnitude in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory.
merr_osaic_z,mag,Mean error on m_osaic_z.
m_ap_osaic_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of Mosaic-3 Wide Field Imager on The Kitt Peak National Observatory."
merr_ap_osaic_z,mag,Mean error on m_ap_osaic_z
flag_osaic_z,mag,Flag set to true for sources for which niether the osaic_z aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_h,uJy,Total flux density in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_h,uJy,Uncertainty on f_newfirm_h.
f_ap_newfirm_h,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_h,uJy,Uncertainty on f_ap_newfirm_h.
m_newfirm_h,mag,Total AB magnitude in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_h,mag,Mean error on m_newfirm_h.
m_ap_newfirm_h,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_h,mag,Mean error on m_ap_newfirm_h
flag_newfirm_h,mag,Flag set to true for sources for which niether the newfirm_h aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_h1,uJy,Total flux density in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_h1,uJy,Uncertainty on f_newfirm_h1.
f_ap_newfirm_h1,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_h1,uJy,Uncertainty on f_ap_newfirm_h1.
m_newfirm_h1,mag,Total AB magnitude in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_h1,mag,Mean error on m_newfirm_h1.
m_ap_newfirm_h1,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_h1,mag,Mean error on m_ap_newfirm_h1
flag_newfirm_h1,mag,Flag set to true for sources for which niether the newfirm_h1 aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_h2,uJy,Total flux density in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_h2,uJy,Uncertainty on f_newfirm_h2.
f_ap_newfirm_h2,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_h2,uJy,Uncertainty on f_ap_newfirm_h2.
m_newfirm_h2,mag,Total AB magnitude in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_h2,mag,Mean error on m_newfirm_h2.
m_ap_newfirm_h2,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the H band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_h2,mag,Mean error on m_ap_newfirm_h2
flag_newfirm_h2,mag,Flag set to true for sources for which niether the newfirm_h2 aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_j,uJy,Total flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_j,uJy,Uncertainty on f_newfirm_j.
f_ap_newfirm_j,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_j,uJy,Uncertainty on f_ap_newfirm_j.
m_newfirm_j,mag,Total AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_j,mag,Mean error on m_newfirm_j.
